rec_rate,res_0.2,res_0.25,res_0.3,res_0.35,res_0.4
-4.0,1.7365107050657251,1.3801716001463389,1.1179882188016044,0.9104619225923042,0.7386890357375088
-3.75,1.7351446166503617,1.3769859693784539,1.1138236986083343,0.9056859030796622,0.7334947576721923
-3.5,1.729743619411755,1.3750993726135374,1.113830270911494,0.9068759924232613,0.735494749318913
-3.25,1.737270256441716,1.3796636207217001,1.1167980353796898,0.9088454726316714,0.7367809788622405
-3.0,1.7414001757849729,1.384985941846701,1.1227620878453644,0.9152104896210945,0.7434202879331058
-2.75,1.7371044187465585,1.3815288095716196,1.1197569955510283,0.9124880906222667,0.7408913853221936
-2.5,1.7360386565415709,1.380014683540144,1.1180011174873912,0.9105810016903337,0.7388807849261904
-2.25,1.740303628900162,1.385172754104438,1.1236409000575347,0.9165221438788659,0.7450282490635779
-2.0,1.7434890052529355,1.384285260395681,1.120561978014212,0.9120741639787765,0.7396438036321933
-1.75,1.7497993763259267,1.3908807708200248,1.1273104627556072,0.9189180586959809,0.746552890903942
-1.5,1.7612596967177676,1.4002599985688577,1.1355747441841304,0.9264874915373527,0.7536477809972103
-1.25,1.7702329915315256,1.4078444129971028,1.1424170446412882,0.9328679936176626,0.7597132073588752
-1.0,1.8041085750923864,1.4333559833435618,1.1634927414265805,0.9511949127411524,0.7761697437533822
-0.75,1.8697006808877414,1.4858287324737607,1.2091206440675129,0.9926197579296698,0.8147512858224081
-0.5,1.9634616851361688,1.5580877046809662,1.270451199169949,1.0473349890168766,0.8650316600789884
-0.25,2.156840831145969,1.6941486302641002,1.379036030019809,1.1397882148655334,0.9468727828594863
0.0,2.5398148726163092,1.9501356754159296,1.5816839508909537,1.313035325211353,1.1014881957545173
