rec_rate,res_0.3,res_0.35,res_0.4
-4.0,1.3813560750163003,1.1364072875255697,0.9398086545573113
-3.75,1.3902615898348274,1.1432848306224708,0.9453842987599014
-3.5,1.3954625665488447,1.150440298089651,0.9537944167278054
-3.25,1.3751505230018735,1.1286702266459183,0.9310880089285969
-3.0,1.401025946241146,1.153394206910632,0.955074121848685
-2.75,1.374662042831366,1.1280344014398391,0.9303576843134288
-2.5,1.3732910220168506,1.128808650865935,0.9325100575022406
-2.25,1.3748877729033866,1.1280550728478156,0.930246879832627
-2.0,1.3863264050903246,1.137468131566026,0.9383635905228218
-1.75,1.3911460324643068,1.1418207219393661,0.9424178918372202
-1.5,1.4239749496102154,1.1709008721384724,0.9691120099295383
-1.25,1.4650496100858745,1.2105454937764226,1.0078502813372945
-1.0,1.4909417297569347,1.2252480181265124,1.0155333640640716
-0.75,1.5894667450028528,1.3083306259036342,1.0891353135954258
-0.5,1.785423576593149,1.466451956391684,1.2249940833318627
-0.25,2.1241251281646845,1.7109182131801517,1.419387597741885
0.0,2.860383667524712,2.1518093480685,1.7412542989922533
