rec_rate,res_0.3,res_0.35,res_0.4
-4.0,1.3621244637561893,1.1139178482503311,0.915229892502012
-3.75,1.3727140328208225,1.1271665143399348,0.9301830623261049
-3.5,1.3877075720809278,1.1379453450056585,0.9382636698678427
-3.25,1.3665378244696207,1.1189943600136814,0.9207307939081508
-3.0,1.3717480047952302,1.1259506157274761,0.9288066776698871
-2.75,1.3964735982178924,1.1514771455992385,0.9548478632188508
-2.5,1.3917286165389646,1.1458534603131916,0.9486595876615184
-2.25,1.3961434365566918,1.1497102839810105,0.9521583066481484
-2.0,1.4004668434798169,1.1538009924856953,0.9560997734474986
-1.75,1.3840025561952687,1.1367761495311353,0.9387156506543332
-1.5,1.4181187901954329,1.16775618205457,0.9676916623572938
-1.25,1.4421421693080738,1.1843380377972743,0.9795593522288275
-1.0,1.515451688193292,1.2494710950046275,1.0395781479018538
-0.75,1.610124227157868,1.3254908684394406,1.1041810167978001
-0.5,1.7888890931424521,1.4638670981500947,1.218971027175421
-0.25,2.1379027318920385,1.7129705946310276,1.415695299569451
0.0,2.8870368540837466,2.1632750248079744,1.74780982923758
